Ano,Mes,Processado,Enviado,PercEnviados,Entregue,PercEntregueXEnviado,Aberto,PercAbertoXEntregue,Mês,Data
2024.0,5.0,211322587.0,210511420.0,99.61,204919140.0,97.34,11608700.0,5.66,2024 - Maio (05),2024-05-01
2024.0,6.0,179958478.0,179432002.0,99.7,174941995.0,97.49,10004040.0,5.71,2024 - Junho (06),2024-06-01
2024.0,7.0,235753543.0,234513853.0,99.47,227912525.0,97.18,10385443.0,4.55,2024 - Julho (07),2024-07-01
2024.0,8.0,277938868.0,274641328.0,98.81,270035415.0,98.32,9015376.0,3.33,2024 Agosto (08),2024-08-01
2024.0,9.0,240205411.0,237173012.0,98.73,232983669.0,98.23,9694141.0,4.16,2024 - Setembro (09),2024-09-01
2024.0,10.0,249840048.0,246191801.0,98.53,233599596.0,94.88,11663447.0,4.99,2024 - Outubro (10),2024-10-01
2024.0,11.0,225458432.0,221401405.0,98.2,212472547.0,95.96,9297348.0,4.37,2024 - Novembro (11),2024-11-01
2024.0,12.0,236230528.0,234005219.0,99.05,227168082.0,97.07,10843276.0,4.77,2024 - Dezembro (12),2024-12-01
2025.0,1.0,225696062.0,223018419.0,98.81,208504336.0,93.49,15596812.0,7.48,2025 - Janeiro (01),2025-01-01
2025.0,2.0,200194850.0,197661105.0,98.73,189343836.0,95.79,11733594.0,6.19,2025 - Fevereiro (02),2025-02-01
2025.0,3.0,217214501.0,214549918.0,98.77,206511876.0,96.25,10240959.0,4.95,2025 - de Março (03),2025-03-01
